epoch,lr_scheduler,step,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
,0.0001,49,,,,,,
0,,49,0.5625,0.47633928060531616,1.0843532085418701,,,inf
,0.0001,99,,,,,,
0,,99,0.671875,0.6087606549263,0.9031941294670105,,,inf
,0.0001,149,,,,,,
0,,149,0.65625,0.6057959794998169,0.9121555089950562,,,inf
,0.0001,199,,,,,,
0,,199,0.5625,0.46994614601135254,0.9623281955718994,,,inf
0,,209,,,,0.7046939134597778,0.6623744964599609,0.8119022250175476
,0.0001,249,,,,,,
0,,249,0.75,0.7140625715255737,0.7125750780105591,,,inf
,0.0001,299,,,,,,
0,,299,0.671875,0.6329691410064697,0.7997674942016602,,,inf
,0.0001,349,,,,,,
0,,349,0.671875,0.6387152671813965,0.7944899797439575,,,inf
,0.0001,399,,,,,,
0,,399,0.5625,0.49668043851852417,0.9655473828315735,,,inf
0,,419,,,,0.7312380075454712,0.7064074873924255,0.7559124827384949
,0.0001,449,,,,,,
0,,449,0.640625,0.5868697166442871,0.7914872765541077,,,inf
,0.0001,499,,,,,,
0,,499,0.578125,0.49212557077407837,0.904103696346283,,,inf
,0.0001,549,,,,,,
0,,549,0.6875,0.6150314807891846,0.823824405670166,,,inf
,0.0001,599,,,,,,
0,,599,0.703125,0.6481866240501404,0.733863890171051,,,inf
0,,629,,,,0.7446609735488892,0.723447322845459,0.727379322052002
,0.0001,649,,,,,,
0,,649,0.71875,0.6963503360748291,0.7110012173652649,,,inf
,0.0001,699,,,,,,
0,,699,0.703125,0.6759946942329407,0.9264501929283142,,,inf
,0.0001,749,,,,,,
0,,749,0.640625,0.6240107417106628,0.8646894693374634,,,inf
,0.0001,799,,,,,,
0,,799,0.765625,0.7721611857414246,0.5846518874168396,,,inf
0,,839,,,,0.740982711315155,0.7187767028808594,0.738774836063385
,0.0001,849,,,,,,
0,,849,0.71875,0.7118055820465088,0.7289087176322937,,,inf
,0.0001,899,,,,,,
0,,899,0.765625,0.7089015245437622,0.6568864583969116,,,inf
,0.0001,949,,,,,,
0,,949,0.734375,0.6984226703643799,0.6082996129989624,,,inf
,0.0001,999,,,,,,
0,,999,0.703125,0.6568565368652344,0.679976761341095,,,inf
,0.0001,1049,,,,,,
0,,1049,0.6875,0.6269296407699585,0.7503547668457031,,,inf
0,,1049,,,,0.7553115487098694,0.7395395040512085,0.6949968934059143
,0.0001,1099,,,,,,
0,,1099,0.71875,0.6845406293869019,0.6083834767341614,,,inf
,0.0001,1149,,,,,,
0,,1149,0.765625,0.7712299227714539,0.5576525926589966,,,inf
,0.0001,1199,,,,,,
