epoch,lr_scheduler,step,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
,0.001,49,,,,,,
0,,49,0.65625,0.5670673251152039,0.9551726579666138,,,inf
,0.001,99,,,,,,
0,,99,0.640625,0.6076611280441284,0.8662550449371338,,,inf
0,,104,,,,0.7280576825141907,0.6961716413497925,0.7484252452850342
,0.001,149,,,,,,
0,,149,0.7109375,0.6885509490966797,0.7226880192756653,,,inf
,0.001,199,,,,,,
0,,199,0.671875,0.6323727965354919,0.7067731618881226,,,inf
0,,209,,,,0.7372128963470459,0.7203541994094849,0.7103014588356018
,0.001,249,,,,,,
0,,249,0.78125,0.7497528791427612,0.5628517866134644,,,inf
,0.001,299,,,,,,
0,,299,0.765625,0.7387388944625854,0.5419467687606812,,,inf
0,,314,,,,0.7593882083892822,0.7530925273895264,0.6837905049324036
,0.001,349,,,,,,
0,,349,0.8046875,0.8024433851242065,0.49188706278800964,,,inf
,0.001,399,,,,,,
0,,399,0.8125,0.8056363463401794,0.5316976308822632,,,inf
0,,419,,,,0.778712809085846,0.7755866646766663,0.6371918320655823
,0.001,449,,,,,,
0,,449,0.796875,0.7795188426971436,0.5230652093887329,,,inf
,0.001,499,,,,,,
0,,499,0.7890625,0.7752525210380554,0.5468189120292664,,,inf
0,,524,,,,0.7639932036399841,0.7596067786216736,0.6558118462562561
,0.001,549,,,,,,
0,,549,0.7890625,0.7776106595993042,0.49118441343307495,,,inf
,0.001,599,,,,,,
0,,599,0.765625,0.7704633474349976,0.6535887718200684,,,inf
0,,629,,,,0.7997642755508423,0.7871173024177551,0.6008785963058472
,0.001,649,,,,,,
0,,649,0.8515625,0.8370939493179321,0.4737166464328766,,,inf
,0.001,699,,,,,,
0,,699,0.8203125,0.8154025077819824,0.5341433882713318,,,inf
0,,734,,,,0.8121539354324341,0.7999398112297058,0.5694133043289185
,0.001,749,,,,,,
0,,749,0.8125,0.8056212067604065,0.5439239740371704,,,inf
,0.001,799,,,,,,
0,,799,0.796875,0.7733180522918701,0.5979359745979309,,,inf
0,,839,,,,0.7967490553855896,0.7859281301498413,0.5656566023826599
,0.001,849,,,,,,
0,,849,0.75,0.7527955770492554,0.6837782859802246,,,inf
,0.001,899,,,,,,
0,,899,0.7890625,0.7847763299942017,0.5745052695274353,,,inf
0,,944,,,,0.8094950914382935,0.8010329008102417,0.5661265254020691
,0.001,949,,,,,,
0,,949,0.7734375,0.7709554433822632,0.5862738490104675,,,inf
,0.001,999,,,,,,
0,,999,0.796875,0.7913905382156372,0.4950714409351349,,,inf
,0.001,1049,,,,,,
1,,1049,0.8359375,0.8194218873977661,0.48994502425193787,,,
,0.001,1099,,,,,,
1,,1099,0.8125,0.7943422794342041,0.4463447630405426,,,
1,,1124,,,,0.8069459199905396,0.7995898723602295,0.5526238083839417
,0.001,1149,,,,,,
1,,1149,0.828125,0.8340678215026855,0.5293517708778381,,,
,0.001,1199,,,,,,
1,,1199,0.7734375,0.7798850536346436,0.5999670028686523,,,
1,,1229,,,,0.8044789433479309,0.7976517677307129,0.5520567297935486
,0.001,1249,,,,,,
1,,1249,0.796875,0.7777180671691895,0.5516970753669739,,,
,0.001,1299,,,,,,
1,,1299,0.78125,0.7476153373718262,0.45916229486465454,,,
1,,1334,,,,0.799133837223053,0.7927521467208862,0.5849896669387817
,0.001,1349,,,,,,
1,,1349,0.890625,0.8890600800514221,0.372852087020874,,,
,0.001,1399,,,,,,
1,,1399,0.7890625,0.7774121761322021,0.5068851709365845,,,
1,,1439,,,,0.8096321225166321,0.7963967323303223,0.5367592573165894
,0.001,1449,,,,,,
1,,1449,0.8046875,0.7736366391181946,0.6566392183303833,,,
,0.001,1499,,,,,,
1,,1499,0.7578125,0.7573996782302856,0.5697261095046997,,,
1,,1544,,,,0.7842497825622559,0.7824708819389343,0.6185272932052612
,0.001,1549,,,,,,
1,,1549,0.7421875,0.7520345449447632,0.7475948929786682,,,
,0.001,1599,,,,,,
1,,1599,0.734375,0.7306768894195557,0.5750032663345337,,,
,0.001,1649,,,,,,
1,,1649,0.796875,0.7912472486495972,0.5230458378791809,,,
1,,1649,,,,0.8077408075332642,0.7933279275894165,0.5427089333534241
,0.001,1699,,,,,,
1,,1699,0.859375,0.8578066229820251,0.38611990213394165,,,
,0.001,1749,,,,,,
1,,1749,0.78125,0.7721456289291382,0.5319874882698059,,,
1,,1754,,,,0.816292941570282,0.8040363192558289,0.5087924003601074
,0.001,1799,,,,,,
1,,1799,0.8203125,0.8082607984542847,0.4648456275463104,,,
,0.001,1849,,,,,,
1,,1849,0.7578125,0.7433164715766907,0.5834108591079712,,,
1,,1859,,,,0.749191403388977,0.748731791973114,0.6230821013450623
,0.001,1899,,,,,,
