epoch,lr_scheduler,step,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
,0.001,49,,,,,,
0,,49,0.625,0.5702532529830933,0.9410467743873596,,,inf
,0.001,99,,,,,,
0,,99,0.71875,0.7108151912689209,0.7032750844955444,,,inf
0,,104,,,,0.74708491563797,0.7179050445556641,0.7385836243629456
,0.001,149,,,,,,
0,,149,0.7421875,0.7390409708023071,0.6701371073722839,,,inf
,0.001,199,,,,,,
0,,199,0.7578125,0.7526955604553223,0.6943058967590332,,,inf
0,,209,,,,0.7586358189582825,0.7329977750778198,0.7186934351921082
,0.001,249,,,,,,
0,,249,0.734375,0.7327313423156738,0.6071258187294006,,,inf
,0.001,299,,,,,,
0,,299,0.78125,0.7702298164367676,0.6085270047187805,,,inf
0,,314,,,,0.7866097092628479,0.7817176580429077,0.6255344748497009
,0.001,349,,,,,,
0,,349,0.78125,0.7640789151191711,0.5591109395027161,,,inf
,0.001,399,,,,,,
0,,399,0.796875,0.7829420566558838,0.6008490324020386,,,inf
0,,419,,,,0.7945749163627625,0.790714681148529,0.6181654930114746
,0.001,449,,,,,,
0,,449,0.8203125,0.8063846826553345,0.4795815348625183,,,inf
,0.001,499,,,,,,
0,,499,0.75,0.7221959829330444,0.5910469889640808,,,inf
0,,524,,,,0.7904965281486511,0.7907791137695312,0.6267541646957397
,0.001,549,,,,,,
0,,549,0.7265625,0.722609281539917,0.6339554190635681,,,inf
,0.001,599,,,,,,
0,,599,0.75,0.7436056733131409,0.6375301480293274,,,inf
0,,629,,,,0.806125819683075,0.7907181978225708,0.5765486359596252
,0.001,649,,,,,,
0,,649,0.8515625,0.8396986722946167,0.3984929025173187,,,inf
,0.001,699,,,,,,
0,,699,0.8046875,0.8039119243621826,0.5006604194641113,,,inf
0,,734,,,,0.8085892796516418,0.8007565140724182,0.5854752659797668
,0.001,749,,,,,,
0,,749,0.7421875,0.7363636493682861,0.6401411890983582,,,inf
,0.001,799,,,,,,
0,,799,0.8046875,0.7982897162437439,0.5472322702407837,,,inf
0,,839,,,,0.8161165118217468,0.8111817240715027,0.5720152258872986
,0.001,849,,,,,,
0,,849,0.765625,0.7493172287940979,0.6475251913070679,,,inf
,0.001,899,,,,,,
0,,899,0.84375,0.8458899259567261,0.4118218719959259,,,inf
0,,944,,,,0.8120381236076355,0.8036297559738159,0.5561386346817017
,0.001,949,,,,,,
0,,949,0.8046875,0.7846139669418335,0.5004875659942627,,,inf
,0.001,999,,,,,,
0,,999,0.84375,0.8329477310180664,0.48988020420074463,,,inf
,0.001,1049,,,,,,
1,,1049,0.84375,0.8225073218345642,0.4468729496002197,,,
,0.001,1099,,,,,,
1,,1099,0.7734375,0.7356113195419312,0.6019607186317444,,,
1,,1126,,,,0.7827503085136414,0.7840684056282043,0.6065609455108643
,0.001,1149,,,,,,
1,,1149,0.8359375,0.8344206809997559,0.41430428624153137,,,
,0.001,1199,,,,,,
1,,1199,0.796875,0.7786458730697632,0.588931143283844,,,
1,,1231,,,,0.8032791614532471,0.7968831658363342,0.5605353713035583
,0.001,1249,,,,,,
1,,1249,0.8359375,0.8459514379501343,0.41613078117370605,,,
,0.001,1299,,,,,,
1,,1299,0.8671875,0.8627155423164368,0.41645994782447815,,,
1,,1336,,,,0.7989270091056824,0.7956814169883728,0.574341893196106
,0.001,1349,,,,,,
1,,1349,0.84375,0.8338537216186523,0.46630290150642395,,,
,0.001,1399,,,,,,
1,,1399,0.84375,0.8342351913452148,0.4321889579296112,,,
1,,1441,,,,0.7960803508758545,0.7839018702507019,0.5662126541137695
,0.001,1449,,,,,,
1,,1449,0.8046875,0.8031039237976074,0.5452117323875427,,,
,0.001,1499,,,,,,
1,,1499,0.828125,0.8323146104812622,0.44316619634628296,,,
1,,1546,,,,0.8030875325202942,0.8002586364746094,0.5611757040023804
,0.001,1549,,,,,,
