epoch,lr_scheduler,step,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
,0.001,49,,,,,,
0,,49,0.734375,0.7153584957122803,0.7774789929389954,,,inf
,0.001,99,,,,,,
0,,99,0.671875,0.6088520288467407,0.6912882328033447,,,inf
0,,104,,,,0.7547900080680847,0.72938072681427,0.6892467141151428
,0.001,149,,,,,,
0,,149,0.703125,0.6917231678962708,0.7014776468276978,,,inf
,0.001,199,,,,,,
0,,199,0.7109375,0.6736568212509155,0.6815730333328247,,,inf
0,,209,,,,0.7564918994903564,0.7446186542510986,0.6539894342422485
,0.001,249,,,,,,
0,,249,0.796875,0.7895219326019287,0.5993543267250061,,,inf
,0.001,299,,,,,,
0,,299,0.7578125,0.7461237907409668,0.5908517837524414,,,inf
0,,314,,,,0.769997239112854,0.7614954710006714,0.6557376384735107
,0.001,349,,,,,,
0,,349,0.7578125,0.7575483322143555,0.6543647050857544,,,inf
,0.001,399,,,,,,
0,,399,0.734375,0.7485172748565674,0.617598295211792,,,inf
0,,419,,,,0.6629151701927185,0.6648567318916321,0.8598495125770569
,0.001,449,,,,,,
0,,449,0.75,0.7441434860229492,0.5893537402153015,,,inf
,0.001,499,,,,,,
0,,499,0.7734375,0.762890100479126,0.5411880016326904,,,inf
0,,524,,,,0.8064507246017456,0.8037526607513428,0.5603597164154053
,0.001,549,,,,,,
0,,549,0.765625,0.7447478175163269,0.6376374959945679,,,inf
,0.001,599,,,,,,
0,,599,0.875,0.8765662908554077,0.4158197045326233,,,inf
0,,629,,,,0.799505889415741,0.7907307147979736,0.5923506617546082
,0.001,649,,,,,,
0,,649,0.8359375,0.826285719871521,0.4832584261894226,,,inf
,0.001,699,,,,,,
0,,699,0.75,0.7345958948135376,0.5803985595703125,,,inf
0,,734,,,,0.7690365314483643,0.7650123834609985,0.6307653188705444
,0.001,749,,,,,,
0,,749,0.859375,0.8462216258049011,0.4063074290752411,,,inf
,0.001,799,,,,,,
0,,799,0.796875,0.7853319048881531,0.5134779214859009,,,inf
0,,839,,,,0.7996705770492554,0.7965916395187378,0.5723021030426025
,0.001,849,,,,,,
0,,849,0.828125,0.819832980632782,0.46029752492904663,,,inf
,0.001,899,,,,,,
0,,899,0.78125,0.7635648250579834,0.5086745619773865,,,inf
0,,944,,,,0.8177326321601868,0.8088574409484863,0.5435805320739746
,0.001,949,,,,,,
0,,949,0.7890625,0.7819185853004456,0.527726948261261,,,inf
,0.001,999,,,,,,
0,,999,0.703125,0.6875672340393066,0.7361152768135071,,,inf
,0.001,1049,,,,,,
1,,1049,0.8203125,0.8195867538452148,0.5171540975570679,,,
,0.001,1099,,,,,,
1,,1099,0.8828125,0.8759629726409912,0.4080350399017334,,,
1,,1122,,,,0.8097721934318542,0.8007327914237976,0.5445321798324585
,0.001,1149,,,,,,
1,,1149,0.7890625,0.7847166061401367,0.4857026934623718,,,
,0.001,1199,,,,,,
1,,1199,0.765625,0.7546690702438354,0.5572163462638855,,,
1,,1227,,,,0.8146308064460754,0.8062424659729004,0.5135629773139954
,0.001,1249,,,,,,
1,,1249,0.8515625,0.8363776803016663,0.42450055480003357,,,
,0.001,1299,,,,,,
1,,1299,0.8046875,0.7894374132156372,0.4595004618167877,,,
1,,1332,,,,0.8104309439659119,0.8037917613983154,0.5344107151031494
,0.001,1349,,,,,,
1,,1349,0.7890625,0.7727304100990295,0.5759171843528748,,,
,0.001,1399,,,,,,
1,,1399,0.796875,0.7824203968048096,0.5587010383605957,,,
1,,1437,,,,0.8034312129020691,0.8029663562774658,0.5362868905067444
,0.001,1449,,,,,,
1,,1449,0.7734375,0.761886715888977,0.6145622134208679,,,
,0.001,1499,,,,,,
1,,1499,0.7890625,0.7866711616516113,0.6027286648750305,,,
1,,1542,,,,0.8106231093406677,0.8080121874809265,0.5137152075767517
,0.001,1549,,,,,,
1,,1549,0.8125,0.8016842603683472,0.4624369740486145,,,
,0.001,1599,,,,,,
1,,1599,0.78125,0.7740297317504883,0.5190930366516113,,,
1,,1647,,,,0.8080428242683411,0.8004202246665955,0.5166491866111755
,0.001,1649,,,,,,
1,,1649,0.7890625,0.7814906239509583,0.4724419116973877,,,
,0.001,1699,,,,,,
1,,1699,0.796875,0.7898412942886353,0.5306178331375122,,,
,0.001,1749,,,,,,
1,,1749,0.7734375,0.7561476826667786,0.53382807970047,,,
1,,1752,,,,0.7939884662628174,0.7934449315071106,0.5600717067718506
,0.001,1799,,,,,,
1,,1799,0.8671875,0.8620556592941284,0.38431334495544434,,,
,0.001,1849,,,,,,
1,,1849,0.7265625,0.7230709195137024,0.6605654358863831,,,
1,,1857,,,,0.8043919801712036,0.8056718707084656,0.5224712491035461
,0.001,1899,,,,,,
1,,1899,0.8359375,0.8322627544403076,0.43605250120162964,,,
,0.001,1949,,,,,,
1,,1949,0.828125,0.8081319332122803,0.3797304332256317,,,
1,,1962,,,,0.817156195640564,0.8140701055526733,0.5012168884277344
,0.001,1999,,,,,,
1,,1999,0.8203125,0.8028218746185303,0.4397665560245514,,,
,0.001,2049,,,,,,
2,,2049,0.8125,0.8154846429824829,0.47300368547439575,,,
,0.001,2099,,,,,,
2,,2099,0.78125,0.7534898519515991,0.5873553156852722,,,
2,,2140,,,,0.8086192607879639,0.8013542294502258,0.5135948657989502
,0.001,2149,,,,,,
2,,2149,0.8671875,0.8606481552124023,0.35420241951942444,,,
,0.001,2199,,,,,,
2,,2199,0.8359375,0.8269293308258057,0.4808766543865204,,,
2,,2245,,,,0.8129289150238037,0.8068704605102539,0.5158473253250122
,0.001,2249,,,,,,
2,,2249,0.828125,0.8106205463409424,0.4519720673561096,,,
,0.001,2299,,,,,,
2,,2299,0.8515625,0.8441060781478882,0.4289044737815857,,,
,0.001,2349,,,,,,
2,,2349,0.8671875,0.8579716682434082,0.3732489347457886,,,
2,,2350,,,,0.8164150714874268,0.8055251240730286,0.49147358536720276
,0.001,2399,,,,,,
2,,2399,0.7734375,0.7454748153686523,0.6753402352333069,,,
,0.001,2449,,,,,,
2,,2449,0.765625,0.7653769850730896,0.6492295265197754,,,
2,,2455,,,,0.8115289807319641,0.8015273809432983,0.5146921873092651
,0.001,2499,,,,,,
2,,2499,0.796875,0.7970942854881287,0.5037681460380554,,,
,0.001,2549,,,,,,
2,,2549,0.8359375,0.8316454887390137,0.49731823801994324,,,
2,,2560,,,,0.8120505213737488,0.8106746077537537,0.5031384825706482
,0.001,2599,,,,,,
2,,2599,0.828125,0.8200560808181763,0.4945085644721985,,,
,0.001,2649,,,,,,
2,,2649,0.765625,0.7511985301971436,0.5795678496360779,,,
2,,2665,,,,0.8177601099014282,0.8080820441246033,0.5117020606994629
,0.001,2699,,,,,,
2,,2699,0.8828125,0.8797546625137329,0.3522079288959503,,,
,0.001,2749,,,,,,
2,,2749,0.8359375,0.8171699643135071,0.48087096214294434,,,
2,,2770,,,,0.7849848866462708,0.7849166393280029,0.5525155663490295
,0.001,2799,,,,,,
