epoch,lr_scheduler,step,train_acc,train_f1,train_loss,val_acc,val_f1,val_loss
,0.001,49,,,,,,
0,,49,0.3125,0.2089843899011612,1.442392349243164,,,inf
,0.001,99,,,,,,
0,,99,0.6171875,0.5094807147979736,1.0380898714065552,,,inf
0,,105,,,,0.6729216575622559,0.6185949444770813,0.9171021580696106
,0.001,149,,,,,,
0,,149,0.7109375,0.6756012439727783,0.804692804813385,,,inf
,0.001,199,,,,,,
0,,199,0.703125,0.6761351823806763,0.7731306552886963,,,inf
0,,211,,,,0.7273892760276794,0.6983773112297058,0.7112061977386475
,0.001,249,,,,,,
0,,249,0.765625,0.7349487543106079,0.6577014327049255,,,inf
,0.001,299,,,,,,
0,,299,0.71875,0.6507917642593384,0.6189086437225342,,,inf
0,,317,,,,0.745063304901123,0.7235187888145447,0.6882005929946899
,0.001,349,,,,,,
0,,349,0.71875,0.6672319173812866,0.6499394178390503,,,inf
,0.001,399,,,,,,
0,,399,0.71875,0.6802639365196228,0.6242641806602478,,,inf
0,,423,,,,0.7473543286323547,0.7350485324859619,0.7107894420623779
,0.001,449,,,,,,
0,,449,0.6875,0.6564942002296448,0.730981171131134,,,inf
,0.001,499,,,,,,
0,,499,0.8203125,0.8143054246902466,0.5112590789794922,,,inf
0,,529,,,,0.7468361258506775,0.7376734018325806,0.6963452696800232
,0.001,549,,,,,,
0,,549,0.703125,0.6475936770439148,0.6233723163604736,,,inf
,0.001,599,,,,,,
0,,599,0.734375,0.6974808573722839,0.6688700318336487,,,inf
0,,635,,,,0.7630645632743835,0.7511450052261353,0.6681370735168457
,0.001,649,,,,,,
0,,649,0.7734375,0.7557566165924072,0.5753228068351746,,,inf
,0.001,699,,,,,,
0,,699,0.7734375,0.7673017978668213,0.5724475383758545,,,inf
0,,741,,,,0.7590279579162598,0.7532084584236145,0.662178635597229
,0.001,749,,,,,,
0,,749,0.765625,0.7399253249168396,0.5602694153785706,,,inf
,0.001,799,,,,,,
0,,799,0.7734375,0.7417545318603516,0.6084093451499939,,,inf
0,,847,,,,0.7552912831306458,0.7542904615402222,0.663154125213623
,0.001,849,,,,,,
0,,849,0.78125,0.7650398015975952,0.5454745888710022,,,inf
,0.001,899,,,,,,
0,,899,0.8203125,0.8085006475448608,0.4742352068424225,,,inf
,0.001,949,,,,,,
0,,949,0.75,0.7215766906738281,0.7156689763069153,,,inf
0,,953,,,,0.7594643235206604,0.7531418204307556,0.6947901844978333
,0.001,999,,,,,,
0,,999,0.8125,0.8026026487350464,0.48959043622016907,,,inf
,0.001,1049,,,,,,
1,,1049,0.7421875,0.7061207890510559,0.7259374260902405,,,
,0.001,1099,,,,,,
1,,1099,0.7890625,0.779921293258667,0.5518386960029602,,,
